ID;SALIS;MIESTAS;TIKSLAS;DATALAIKAS;RENGINYS;DATA_NUO;DATA_IKI;INFORMACIJA;PATVIRTINTA;VARDAS;PAVARDE;PAREIGOS;ISTAIGA
662;Italija;Venecija;Paroda/Festivalis;2007-06-06;"Dalyvauti venecijos bienalėje";2007-06-06;2007-06-10;;1;Giedrė;Kabašinskienė;direktorė;"VšĮ  „Vilnius-Europos kultūros  sostinė 2009“"
681;Suomija;Tampere;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti tarptautiniame kino festivalyje";2007-03-06;2007-03-11;"Tamperė (Suomija)";1;Kristijonas;"Kučinskas ";Vadovas;"VšĮ   „Jono Meko vizualiųjų menų centras“"
682;JAV;Niujorkas;;2007-06-06;"Dalyvauti susitikimuose";2007-03-12;2007-03-18;;1;Kristijonas;"Kučinskas ";Vadovas;"VšĮ   „Jono Meko vizualiųjų menų centras“"
701;Čekija;Brno;;2007-06-06;"Dalyvauti seminare";2007-04-01;2007-04-04;;1;Vilija;Klimavičienė;*;"Švietimo įstaigos"
721;Vengrija;Budapeštas;"Dvišalis bendradarbiavimas";2007-06-06;"Susipažinti su „Siemens“ įdiegtomis reguliavimo sistemomis";2007-03-31;2007-04-06;;1;Vidutis;Cemnolonskis;Vedėjas;"Eismo organizavimo poskyris"
741;Švedija;Stokholmas;;2007-06-06;"Dalyvauti seminare";2007-02-19;2007-02-23;;1;Daiva;Želvienė;"Vyriausiasis specialistas";"Neformaliojo švietimo ir jaunimo reikalų poskyris"
761;"Turkija ";Stambulas;;2007-06-06;"Dalyvauti „Europos miestai prieš narkotikus“ seminare";2007-05-08;2007-05-13;;1;Daiva;Želvienė;"Vyriausiasis specialistas";"Neformaliojo švietimo ir jaunimo reikalų poskyris"
762;Vokietija;Frankfurtas;Paroda/Festivalis;2007-06-06;"Dalyvauti muzikos instrumentų mugėje";2007-03-28;2007-03-30;;1;Kristina;Ulevičiūtė;"Vyresnysis specialistas";"Kultūros ir meno skyrius"
781;Vokietija;;;2007-06-06;"Dalyvauti tarptautiniame renginyje";2007-03-28;2007-03-30;;1;Danguolė;Baltrušaitienė;"Vyriausiasis specialistas";"Viešojo transporto poskyris"
782;Latvija;Ryga;;2009-05-04;"Dalyvauti projekto CIVIT ir CIVITII dalyvių susitikime";2007-01-18;2007-01-18;;1;Kastytis;Lubys;Vedėjas;"Viešojo transporto poskyris"
782;Latvija;Ryga;;2009-05-04;"Dalyvauti projekto CIVIT ir CIVITII dalyvių susitikime";2007-01-18;2007-01-18;;1;Danguolė;Baltrušaitienė;"Vyriausiasis specialistas";"Viešojo transporto poskyris"
801;Italija;Bolonija;"Dvišalis bendradarbiavimas";2009-05-04;"Susipažinti su lieto metalo surenkamomis konstrukcijomis";2007-01-10;2007-01-13;;1;Juozas;Gedvilas;Vedėjas;"Miesto ūkio skyrius"
801;Italija;Bolonija;"Dvišalis bendradarbiavimas";2009-05-04;"Susipažinti su lieto metalo surenkamomis konstrukcijomis";2007-01-10;2007-01-13;;1;Sonata;Čapienė;"Vyriausiasis specialistas";"Salygų ir projektų derinimo poskyris"
801;Italija;Bolonija;"Dvišalis bendradarbiavimas";2009-05-04;"Susipažinti su lieto metalo surenkamomis konstrukcijomis";2007-01-10;2007-01-13;;1;Antanas;Mikalauskas;"Direktoriaus pavaduotojas";"Energetikos ir ūkio departamentas"
821;;;"Dvišalis bendradarbiavimas";2007-06-06;"Dalybvauti dalykiniuose susitikimuose Sankt Peterburge";2007-06-03;2007-06-08;;1;Vilija;Liudvinavičienė;"Poskyrio vedėjas";"Strateginio planavimo ir analizės poskyris"
821;;;"Dvišalis bendradarbiavimas";2007-06-06;"Dalybvauti dalykiniuose susitikimuose Sankt Peterburge";2007-06-03;2007-06-08;;1;Danutė;Katilienė;"Vyriausioji specialistė";"Energetikos ir pastatų administravimo poskyris"
821;;;"Dvišalis bendradarbiavimas";2007-06-06;"Dalybvauti dalykiniuose susitikimuose Sankt Peterburge";2007-06-03;2007-06-08;;1;Kęstutis;Karosas;Vedėjas;"Energetikos ir būsto skyrius"
